variable, explanation
nhousingUn, number of housing units
nMobileHom, number of mobile homes
nBadPlumbi, number of houses with incomplete plumbing
nBadKitche, number of houses with incomplete kitchens
Population, total population
PopInHouse, number of persons living in households
nHousehold, number of households
Families, number of families
houseValue, value of the house
yearBuilt, year house was built
nRooms, median number of rooms per house
nBedrooms, median number of bedrooms per house
medHHinc, median household income
MedianAge, median age of population

