ID,TRACT,GEOID,label,nhousingUn,nMobileHom,yearBuilt,nBadPlumbi,nBadKitche,nRooms,nBedrooms,medHHinc,Population,MedianAge,PopInHouse,nHousehold,Families
1,0001,6005000100,"Census Tract 1, Amador County, California",3847,199,1978,79,66,5.2,2.396153,39417,6076,49.8,6076,2680,1932
2,0001,6011000100,"Census Tract 1, Colusa County, California",1471,162,1971,27,23,4.8,2.208022,36514,4433,29.6,4428,1344,1058
3,0001,6019000100,"Census Tract 1, Fresno County, California",496,0,1955,0,185,1.7,0.649194,8498,2755,32.7,416,367,23
4,0001,6023000100,"Census Tract 1, Humboldt County, California",2053,6,1939,34,22,3.4,1.553824,19183,4267,30.3,4061,1917,791
5,0001,6027000100,"Census Tract 1, Inyo County, California",1271,770,1980,0,0,5.5,2.719119,39205,2812,44.5,2810,1192,827
6,0001,6031000100,"Census Tract 1, Kings County, California",1159,83,1960,6,3,5.5,2.597929,36391,3368,34.3,3358,1093,879
7,0001,6033000100,"Census Tract 1, Lake County, California",1530,398,1973,62,59,4.7,2.205882,30481,2796,42.4,2738,1125,752
8,0001,6043000100,"Census Tract 1, Mariposa County, California",2996,859,1977,48,47,4.9,2.236649,30645,6082,43.6,5810,2545,1608
9,0001,6047000100,"Census Tract 1, Merced County, California",429,131,1972,0,0,4.8,2.361305,31250,1166,30.6,1160,388,281
10,0001,6049000100,"Census Tract 1, Modoc County, California",1681,238,1964,21,22,5,2.381321,24784,3506,39.7,3426,1440,932
11,0001,6051000100,"Census Tract 1, Mono County, California",3791,675,1977,36,45,4.8,2.374044,45325,5759,40.7,5619,2322,1629
12,0001,6063000100,"Census Tract 1, Plumas County, California",2477,498,1971,15,7,4.9,2.423496,36060,5441,41.4,5333,2362,1494
13,0001,6067000100,"Census Tract 1, Sacramento County, California",1766,0,1955,5,0,5.5,2.61778,53318,3558,44.6,3558,1719,984
14,0001,6069000100,"Census Tract 1, San Benito County, California",1566,256,1973,21,13,5.8,2.908046,57255,5121,33.4,4904,1481,1210
15,0001,6073000100,"Census Tract 1, San Diego County, California",1356,0,1939,0,6,6.5,3.248525,84618,3024,46.9,3018,1298,875
16,0001,6077000100,"Census Tract 1, San Joaquin County, California",1978,27,1956,39,148,2.2,0.96815,11190,4566,31,4365,1669,760
17,0001,6093000100,"Census Tract 1, Siskiyou County, California",667,105,1957,7,13,4.6,2.215892,24464,1443,32.4,1443,524,369
18,0001,6103000100,"Census Tract 1, Tehama County, California",2497,563,1971,110,112,4.8,2.360433,32288,4636,43.1,4506,1796,1315
19,0001,6105000100,"Census Tract 1, Trinity County, California",4097,1005,1975,103,106,4.7,2.209666,31272,7261,45.1,7051,3094,2040
20,0001,6107000100,"Census Tract 1, Tulare County, California",2753,275,1972,55,37,5,2.382855,45642,4921,43.6,4915,1965,1396
21,0001,6111000100,"Census Tract 1, Ventura County, California",600,96,1972,80,92,4.6,2.148333,56964,752,45,749,314,193
22,000101,6007000101,"Census Tract 1.01, Butte County, California",2708,7,1985,0,54,5,2.473412,39823,6780,32.9,6687,2612,1704
23,000101,6015000101,"Census Tract 1.01, Del Norte County, California",1715,24,1971,0,0,4.2,2.181924,20546,3784,31.5,3664,1527,885
24,000101,6029000101,"Census Tract 1.01, Kern County, California",3093,0,1971,7,9,4.9,2.369867,35446,7843,30.5,7764,2945,2080
25,000101,6053000101,"Census Tract 1.01, Monterey County, California",513,0,1965,0,0,5,2.62768,63333,1891,34.2,1891,531,443
26,000101,6083000101,"Census Tract 1.01, Santa Barbara County, California",2216,871,1971,18,18,4.7,2.258574,42828,5038,43.8,4674,2166,1185
27,000101,6099000101,"Census Tract 1.01, Stanislaus County, California",1637,327,1976,3,15,5.7,2.840562,55489,4363,40.2,4363,1558,1218
28,000102,6007000102,"Census Tract 1.02, Butte County, California",1558,191,1972,0,0,5.4,2.654044,40972,3731,40.2,3705,1527,1000
29,000102,6015000102,"Census Tract 1.02, Del Norte County, California",1434,385,1976,0,10,4.9,2.463738,28663,3488,38.1,3432,1287,898
30,000102,6029000102,"Census Tract 1.02, Kern County, California",1253,0,1956,7,13,5.5,2.663208,36052,2975,36.1,2970,1192,802
