GEOID,houseValue
6005000100,143e3
6011000100,108200
6019000100,0
6023000100,99300
6027000100,195800
6031000100,145400
6033000100,102800
6043000100,144400
6047000100,98600
6049000100,65700
6051000100,179e3
6063000100,135500
6067000100,183700
6069000100,444200
6073000100,581e3
6077000100,59300
6093000100,45800
6103000100,117700
6105000100,123e3
6107000100,169600
6111000100,191900
6007000101,132400
6015000101,90600
6029000101,88700
6053000101,230600
6083000101,442800
6099000101,252e3
6007000102,131400
6015000102,124e3
6029000102,84800
6039000102,141700
6053000102,199200
6057000102,200500
6083000102,449300
6099000102,286e3
6015000103,114600
6039000103,156300
6053000103,230300
6057000103,231800
6071000103,218900
6083000103,772600
6039000104,167900
6053000104,218400
6057000104,185200
6071000104,262200
6039000105,155200
6057000105,188200
6071000105,272100
6071000106,298100
6071000107,192200
6071000108,236300
6071000109,191200
6009000110,165e3
6071000110,163700
6071000111,262900
6071000112,242100
6009000120,173200
6005000200,158e3
6011000200,12e4
6019000200,59600
6023000200,98200
6027000200,191600
6029000200,65800
6031000200,137800
6039000200,130200
6043000200,135100
6047000200,106e3
6049000200,64100
6051000200,298600
6053000200,171200
6057000200,221500
6067000200,179e3
6069000200,288700
6073000200,362600
6083000200,456900
6093000200,55700
6103000200,126800
6105000200,120100
6111000200,175900
6007000201,126500
6015000201,150800
6063000201,175400
6071000201,128700
6099000201,140600
6107000201,86800
6007000202,126200
6015000202,150300
6063000202,147e3
6071000202,135300
6099000202,106e3
6107000202,129100
6015000203,79400
6099000203,122e3
6009000210,163700
6009000220,142400
6007000300,112700
6009000300,141600
6011000300,98300
6019000300,59600
6023000300,107700
6027000300,233700
6029000300,71100
6031000300,55e3
6033000300,184500
6039000300,83e3
6043000300,145200
6049000300,76800
6053000300,184900
6057000300,202100
6063000300,103700
6067000300,212100
6069000300,203300
6073000300,299600
6077000300,81700
6083000300,345e3
6093000300,84800
6103000300,121500
6105000300,78e3
6005000301,161600
6047000301,98200
6071000301,129200
6099000301,92900
6107000301,145800
6111000301,173500
6005000302,141800
6099000302,153200
6107000302,70700
6111000302,170600
6047000303,124600
6071000303,117e3
6099000303,119400
6047000304,90500
6071000304,142400
6099000304,102700
6007000400,165900
6009000400,129700
6011000400,93e3
6019000400,60600
6023000400,13e4
6027000400,148e3
6029000400,74100
6033000400,124700
6039000400,88100
6043000400,107900
6047000400,129300
6049000400,74100
6053000400,191300
6063000400,89100
6067000400,144400
6069000400,228700
6073000400,309600
6083000400,678800
6093000400,89100
6103000400,170400
6105000400,92200
6111000400,175500
6005000401,172e3
6057000401,223400
6071000401,175700
6077000401,105200
6107000401,98600
6005000402,167400
6031000402,136800
6057000402,188200
6071000402,168400
6077000402,139e3
6099000402,167500
6107000402,116700
6031000403,109300
6099000403,166e3
6031000404,116800
6099000404,148600
6031000405,95900
6005000500,156400
6009000500,174100
6011000500,118200
6019000500,56900
6023000500,109800
6027000500,124300
6031000500,81100
6033000500,96200
6053000500,163500
6063000500,162500
6067000500,126900
6069000500,273100
6071000500,177800
6073000500,320800
6077000500,75200
6093000500,77800
6103000500,91100
6111000500,157600
6007000501,19e4
6057000501,147300
6083000501,657200
6099000501,159700
6107000501,78400
6007000502,129900
6039000502,84200
6057000502,153500
6083000502,496100
6107000502,93300
6029000503,162800
6039000503,124400
6047000503,108500
6099000503,133700
6029000504,134600
6047000504,84700
6099000504,185700
6029000505,144500
6047000505,83500
6099000505,128900
6029000506,141500
6039000506,99600
6099000506,135300
6029000507,161e3
6039000507,113100
6099000507,142100
6039000508,106700
6099000508,201900
6039000509,138800
6019000600,64e3
6023000600,121500
6027000600,106500
6029000600,7e4
6033000600,115e3
6053000600,152600
6057000600,152100
6067000600,182500
6069000600,297500
6073000600,227600
6077000600,72800
6083000600,661e3
6093000600,94100
6103000600,109900
6107000600,84900
6111000600,158700
6007000601,151100
6031000601,135400
6039000601,79e3
6047000601,103200
6071000601,163400
6099000601,135600
6031000602,136900
6039000602,71500
6047000602,97100
6071000602,128700
6099000602,128e3
6007000603,120100
6047000603,124600
6007000604,147800
6007000700,127800
6019000700,68500
6023000700,138600
6027000700,126e3
6029000700,89300
6033000700,89300
6039000700,121900
6053000700,145600
6067000700,0
6069000700,276900
6071000700,0
6073000700,340200
6077000700,76200
6083000700,810800
6103000700,83600
6111000700,172500
6031000701,119400
6047000701,86e3
6057000701,219600
6093000701,124900
6107000701,87200
6031000702,112100
6047000702,184800
6057000702,198200
6093000702,78900
6107000702,83e3
6093000703,106500
6007000800,135600
6019000800,93800
6023000800,138200
6029000800,83300
6031000800,88400
6033000800,76700
6039000800,73500
6053000800,147300
6067000800,275e3
6069000800,405500
6073000800,215600
6077000800,65300
6093000800,113900
6103000800,74900
6107000800,88100
6111000800,218300
6047000801,98700
6057000801,244100
6083000801,349600
6099000801,137800
6047000802,104e3
6057000802,218300
6083000802,309300
6099000803,89200
6071000804,296900
6071000805,267200
6099000805,105700
6071000806,257100
6099000806,133500
6071000807,254100
6099000807,136900
6071000808,174e3
6071000809,219100
6071000810,148400
6071000811,141700
6071000812,167700
6007000900,151700
6019000900,56e3
6023000900,190200
6031000900,77900
6033000900,141700
6039000900,75300
6053000900,151300
6057000900,157100
6067000900,104e3
6071000900,132500
6073000900,144700
6077000900,90500
6083000900,352600
6093000900,96800
6103000900,91400
6107000900,79e3
6047000901,141700
6111000901,436400
6029000902,94200
6047000902,94e3
6111000902,293600
6029000903,102800
6047000903,262900
6111000903,277600
6029000904,90100
6029000905,93700
6099000905,140400
6029000906,88500
6099000906,144400
6029000907,78800
6099000907,181200
6029000908,110800
6099000908,142700
6029000909,185300
6099000909,111300
6029000910,135100
6099000910,105900
6099000911,140500
6099000912,160300
6007001000,106900
6019001000,63600
6023001000,184200
6029001000,83200
6033001000,149800
6039001000,132700
6053001000,247400
6067001000,0
6071001000,13e4
6073001000,186300
6077001000,123800
6083001000,354600
6093001000,157700
6103001000,94900
6031001001,113300
6099001001,138200
6111001001,233800
6031001002,74700
6047001002,131e3
6099001002,111600
6111001002,231700
6031001003,85400
6047001003,92900
6107001003,95100
6047001004,140400
6107001004,82100
6047001005,110700
6107001005,159800
6107001006,165400
6007001100,14e4
6019001100,50500
6023001100,118800
6031001100,68100
6033001100,131500
6053001100,278400
6067001100,137500
6071001100,141100
6073001100,187500
6093001100,89400
6099001100,114500
6103001100,81800
6107001100,68500
6109001100,142100
6029001101,77400
6047001101,120100
6059001101,241600
6077001101,99300
6083001101,346800
6111001101,220300
6029001102,68500
6047001102,143500
6059001102,204800
6077001102,98300
6083001102,334100
6111001102,295500
6029001103,62800
6059001103,190100
6007001200,97e3
6023001200,217900
6031001200,133300
6033001200,132100
6047001200,126e3
6053001200,246400
6067001200,156e3
6071001200,136100
6073001200,151500
6077001200,142500
6093001200,93700
6099001200,113e3
6107001200,126700
6109001200,147100
6019001201,62300
6029001201,68200
6057001201,223800
6059001201,158700
6111001201,242100
6019001202,73300
6029001202,59300
6057001202,309600
6059001202,166900
6083001202,474600
6111001202,279700
6083001203,563900
6083001204,294e3
6111001204,169200
6111001205,576400
6007001300,86800
6029001300,62200
6031001300,9e4
6033001300,145500
6053001300,170600
6067001300,222300
6073001300,157e3
6077001300,98500
6099001300,148200
6019001301,63100
6047001301,88300
6059001301,204900
6071001301,117600
6083001301,483900
6107001301,112200
6111001301,233200
6019001302,70400
6047001302,93900
6083001302,484700
6107001302,121400
6111001302,172600
6059001303,152800
6071001303,128400
6059001304,158600
6071001304,146e3
6007001400,199600
6029001400,58e3
6031001400,76300
6053001400,239400
6067001400,216700
6071001400,120800
6073001400,225700
6077001400,94400
6083001400,976e3
6099001400,113900
6107001400,120200
6047001401,89600
6059001401,241600
6111001401,245100
6047001402,112100
6059001402,208500
6111001402,235900
6019001403,107700
6059001403,238200
6019001404,138100
6059001404,159900
6019001405,131500
6019001406,117300
6007001500,194200
6019001500,82900
6029001500,69400
6031001500,73e3
6053001500,247200
6067001500,233100
6071001500,116600
6073001500,183700
6077001500,80300
6083001500,1000001
6099001500,101200
6047001501,94100
6059001501,313400
6107001501,113100
6047001502,76700
6107001502,89300
6111001502,209e3
6047001503,79900
6059001503,241400
6111001503,196e3
6059001504,212600
6059001505,232300
6059001506,281300
6111001506,212800
6059001507,215900
6111001507,223800
6007001600,174e3
6019001600,95800
6029001600,83600
6053001600,243500
6067001600,190900
6071001600,98800
6073001600,117600
6077001600,72100
6031001601,77300
6047001601,68900
6059001601,349400
6083001601,396300
6099001601,77700
6107001601,72800
6111001601,207900
6031001602,0
6047001602,91900
6059001602,348e3
6083001602,383e3
6107001602,87100
6111001602,236300
6099001603,82800
6099001604,81600
6019001700,134200
6029001700,124800
6047001700,89200
6053001700,179400
6067001700,128600
6073001700,139400
6077001700,76700
6099001700,76400
6111001700,381200
6007001701,119e3
6031001701,69700
6071001701,137100
6083001701,717700
6107001701,89e3
6007001702,136500
6031001702,0
6071001702,182300
6083001702,267500
6071001703,174400
6107001703,127300
6059001704,322400
6107001704,134600
6059001705,277100
6059001706,466700
6059001707,292600
6059001708,296500
6007001800,11e4
6019001800,95600
6053001800,188e3
6067001800,115700
6073001800,135300
6077001800,79800
6083001800,65100
6099001800,119900
6107001800,115600
6111001800,296200
6029001801,102300
6047001801,151800
6059001801,184400
6071001801,128e3
6029001802,119700
6047001802,132500
6059001802,162400
6071001802,165300
6071001803,139600
6007001900,135100
6019001900,89400
6067001900,134e3
6071001900,216300
6073001900,221900
6077001900,77700
6099001900,116400
6111001900,298e3
6029001901,84900
6047001901,79100
6059001901,181300
6083001901,266700
6107001901,110900
6029001902,83e3
6047001902,82e3
6059001902,192500
6107001902,136200
6059001903,185100
6083001903,375300
6083001905,468500
6083001906,422300
6007002000,126100
6019002000,70200
6029002000,61200
6047002000,115500
6067002000,93200
6077002000,77200
6111002000,394e3
6073002001,383600
6071002002,260100
6073002002,289900
6099002002,92500
6107002002,116300
6071002003,251600
6099002003,125100
6107002003,119600
6071002004,158900
6099002004,94500
6107002004,117400
6071002005,156100
6083002005,156e3
6071002006,168800
6083002006,343500
6107002006,158600
6071002007,187300
6083002007,179800
6107002007,122500
6071002008,164500
6083002008,162400
6107002008,92900
6071002009,272300
6083002009,192700
6107002009,102600
6071002010,189e3
6083002010,192e3
6083002011,159700
6083002012,217300
6083002013,287200
6007002100,130100
6019002100,75500
6029002100,54900
6047002100,164200
6067002100,125900
6071002100,130300
6073002100,160900
6077002100,92400
6099002100,70500
6107002100,190900
6109002100,165400
6083002101,141600
6083002102,148200
6111002102,294e3
6083002103,180800
6007002200,134600
6019002200,79700
6029002200,53700
6067002200,161400
6077002200,68100
6099002200,80700
6109002200,155400
6111002200,179900
6047002201,96300
6071002201,150200
6073002201,118800
6107002201,94100
6047002202,140900
6073002202,103900
6107002202,73200
6071002203,109600
6071002204,130700
6083002205,154600
6083002206,137e3
6083002209,130700
6083002210,143100
6083002211,187700
6007002300,170800
6019002300,73900
6067002300,187700
6077002300,77800
6111002300,154800
6029002301,71100
6047002301,167600
6071002301,117500
6073002301,191100
6099002301,94500
6029002302,63100
6047002302,142200
6071002302,123700
6073002302,1e5
6099002302,79e3
6107002302,115100
6071002303,149e3
6083002303,121500
6107002303,125700
6083002304,124700
6107002304,82600
6083002305,126700
6083002306,145300
6007002400,124100
6019002400,62100
6029002400,88700
6047002400,91e3
6067002400,265400
6077002400,80200
6099002400,91700
6107002400,115200
6111002400,203800
6071002401,104200
6073002401,141400
6071002402,100700
6073002402,110600
6083002402,148600
6083002403,117400
6083002404,131800
6007002500,83400
6029002500,65700
6067002500,204700
6083002500,112500
6107002500,109400
6111002500,393900
6019002501,65200
6071002501,124800
6073002501,124400
6077002501,108300
6099002501,112e3
6019002502,60900
6071002502,106900
6073002502,136500
6077002502,110500
6099002502,126500
6007002600,145300
6029002600,67100
6067002600,176600
6111002600,222500
6019002601,60400
6071002601,152200
6073002601,108600
6107002601,76800
6019002602,74700
6071002602,120200
6073002602,108700
